P01023	A2MG_HUMAN	NM_000014
Q8N3V9	Q8N3V9_HUMAN	NM_001277817
A0A024R7W5	A0A024R7W5_HUMAN	NM_001277815,NM_001277816,NM_001277817,NM_001277818
Q8NA80	Q8NA80_HUMAN	NM_001277814,NM_001277818
A8K4M5	A8K4M5_HUMAN	NM_001277842
O60563	CCNT1_HUMAN	NM_001240,NM_001277842
B3KQJ6	B3KQJ6_HUMAN	NM_001277945,NM_001277947,NM_001277948,NM_001277949
G0XQ39	G0XQ39_HUMAN	NM_001277961,NM_001277962
P01222	TSHB_HUMAN	NM_000549,NM_001277991
O15111	IKKA_HUMAN	NM_001278
A0A087X0E6	A0A087X0E6_HUMAN	NM_001278063
Q13255	GRM1_HUMAN	NM_001278064,NM_001278065,NM_001278066,NM_001278067
Q59HC2	Q59HC2_HUMAN	NM_001278064,NM_001278065,NM_001278066,NM_001278067
A0A087WXW9	A0A087WXW9_HUMAN	NM_001278074
B2ZZ86	B2ZZ86_HUMAN	NM_000093,NM_001278074
Q59EE7	Q59EE7_HUMAN	NM_000093,NM_001278074
Q86VG7	Q86VG7_HUMAN	NM_001278081
G8EF76	G8EF76_HUMAN	NM_001278094
B4DWY7	B4DWY7_HUMAN	NM_001278114
B7Z6Y5	B7Z6Y5_HUMAN	NM_001278138
F5GX88	F5GX88_HUMAN	NM_001278138
P17813	EGLN_HUMAN	NM_000118,NM_001114753,NM_001278138
Q96CG0	Q96CG0_HUMAN	NM_001114753,NM_001278138
A0A087WUF1	A0A087WUF1_HUMAN	NM_001278141
I0J0A3	I0J0A3_HUMAN	NM_001278158
A0A024QZF6	A0A024QZF6_HUMAN	NM_001098632,NM_001098633,NM_001278159,NM_001278160
A8KAE4	A8KAE4_HUMAN	NM_001278162
Q53H36	Q53H36_HUMAN	NM_001278167
A0A0A0MR11	A0A0A0MR11_HUMAN	NM_001278173
A0A0A0MRS1	A0A0A0MRS1_HUMAN	NM_001278171,NM_001278174,NM_001278178,NM_001278179
B4DQ80	B4DQ80_HUMAN	NM_001278188
A0A087WWU8	A0A087WWU8_HUMAN	NM_001278190
B4DZ53	B4DZ53_HUMAN	NM_001278192
E9PKU7	E9PKU7_HUMAN	NM_001278192
B4DIW2	B4DIW2_HUMAN	NM_001278193
B4DSM6	B4DSM6_HUMAN	NM_001278194
F5H6X6	F5H6X6_HUMAN	NM_001278194
B0AZP8	B0AZP8_HUMAN	NM_001278201
B0YIZ1	B0YIZ1_HUMAN	NM_001278205
Q8TAQ0	Q8TAQ0_HUMAN	NM_001278205
A0A0A0MS58	A0A0A0MS58_HUMAN	NM_001278214
Q9NS08	Q9NS08_HUMAN	NM_001278221
B4DUV7	B4DUV7_HUMAN	NM_001278222
B4DQB8	B4DQB8_HUMAN	NM_001278227,NM_001278229
B7ZLK9	B7ZLK9_HUMAN	NM_001278232
B4DEY6	B4DEY6_HUMAN	NM_001278234
B7Z6R5	B7Z6R5_HUMAN	NM_001278235
G3V1K2	G3V1K2_HUMAN	NM_001278237
B7Z2F8	B7Z2F8_HUMAN	NM_001278239
A0A087X0K2	A0A087X0K2_HUMAN	NM_001278240
B4DEX7	B4DEX7_HUMAN	NM_001278241
B4DR36	B4DR36_HUMAN	NM_001278241
E7EV54	E7EV54_HUMAN	NM_001278241
B4DTI9	B4DTI9_HUMAN	NM_001278242
Q9Y3V2	RWDD3_HUMAN	NM_001128142,NM_001278247,NM_001278248
B3KR90	B3KR90_HUMAN	NM_001077241,NM_001278251
A0A087WVA0	A0A087WVA0_HUMAN	NM_001278267
A0A087WU62	A0A087WU62_HUMAN	NM_001278279
Q7Z4D0	Q7Z4D0_HUMAN	NM_001278280
Q86U76	Q86U76_HUMAN	NM_001278291,NM_001278292
Q49A14	Q49A14_HUMAN	NM_001278295,NM_001278296
Q6UWM0	Q6UWM0_HUMAN	NM_001278301
K7X1S0	K7X1S0_HUMAN	NM_001278302
A0A024RBT2	A0A024RBT2_HUMAN	NM_001278303
Q8TBM8	DJB14_HUMAN	NM_001031723,NM_001278310
A0A087WWX2	A0A087WWX2_HUMAN	NM_001278311
B4DLT2	B4DLT2_HUMAN	NM_001278312
E9PF10	E9PF10_HUMAN	NM_001278312
Q1MX18	INSC_HUMAN	NM_001031853,NM_001042536,NM_001278313,NM_001278314,NM_001278315,NM_001278316
Q5J8X5	M4A13_HUMAN	NM_001012417,NM_001100909,NM_001278320
A0A024R2N4	A0A024R2N4_HUMAN	NM_001278323
A0A024R134	A0A024R134_HUMAN	NM_001278341
F6THM6	F6THM6_HUMAN	NM_001278344
P35609	ACTN2_HUMAN	NM_001103,NM_001278343,NM_001278344
Q59FD9	Q59FD9_HUMAN	NM_001278344
Q9HBB2	Q9HBB2_HUMAN	NM_001278352
A0A0C4DH75	A0A0C4DH75_HUMAN	NM_001278370
D3DX49	D3DX49_HUMAN	NM_001278372
B4DZ84	B4DZ84_HUMAN	NM_001278371,NM_001278373,NM_001278375
A0A0A0MRU0	A0A0A0MRU0_HUMAN	NM_001278376
B4DRL7	B4DRL7_HUMAN	NM_001278376
F8VX04	F8VX04_HUMAN	NM_001278390
A8MVE2	A8MVE2_HUMAN	NM_001278398
Q8IY45	AMN1_HUMAN	NM_001113402,NM_001278411,NM_001278412
A0A0A0MSZ8	A0A0A0MSZ8_HUMAN	NM_001278427
Q8NHJ6	LIRB4_HUMAN	NM_001278426,NM_001278427,NM_001278428,NM_001278429,NM_001278430
B4DPY1	B4DPY1_HUMAN	NM_001278432
A0A024RDT9	A0A024RDT9_HUMAN	NM_001079673,NM_001278438
B4DSY8	B4DSY8_HUMAN	NM_001278444
Q0VGE4	Q0VGE4_HUMAN	NM_001278452
B7Z2P5	B7Z2P5_HUMAN	NM_001278458,NM_001278460
A7UKX9	A7UKX9_HUMAN	NM_001145337,NM_001278462
Q96DS0	Q96DS0_HUMAN	NM_001145340,NM_001278462
B7ZM73	B7ZM73_HUMAN	NM_001278471
A0A0D9SEN7	A0A0D9SEN7_HUMAN	NM_001278478
Q32MY8	Q32MY8_HUMAN	NM_001278478
A8K8L1	A8K8L1_HUMAN	NM_001278482
A6NNL0	NTM2B_HUMAN	NM_001278495
A8K1F6	A8K1F6_HUMAN	NM_001278497,NM_001278498
P29274	AA2AR_HUMAN	NM_000675,NM_001278497,NM_001278498,NM_001278499,NM_001278500
X5DNB4	X5DNB4_HUMAN	NM_000675,NM_001278497,NM_001278498,NM_001278499,NM_001278500
Q5TG92	CA195_HUMAN	NM_001278501,NM_001278502
P0CG41	CTGE8_HUMAN	NM_001278507
G5E9B8	G5E9B8_HUMAN	NM_001278508
A0A087WVZ7	A0A087WVZ7_HUMAN	NM_001278510
B2RBV7	B2RBV7_HUMAN	NM_001278513
A0A0A0MR50	A0A0A0MR50_HUMAN	NM_001278514
Q86UQ5	GTSC1_HUMAN	NM_001278515
Q68DC0	Q68DC0_HUMAN	NM_001278516
A0A087WZ58	A0A087WZ58_HUMAN	NM_001278517
A0A087WUE3	A0A087WUE3_HUMAN	NM_001278518
A0A087WTR9	A0A087WTR9_HUMAN	NM_001278519
Q8N4M7	CJ126_HUMAN	NM_001278522
A0A087WSY5	A0A087WSY5_HUMAN	NM_001278541
B7Z555	B7Z555_HUMAN	NM_001278543
B7Z550	B7Z550_HUMAN	NM_001278544
F1DAM1	F1DAM1_HUMAN	NM_001278546
H0Y2V8	H0Y2V8_HUMAN	NM_001278553
Q8IW23	Q8IW23_HUMAN	NM_001278553
A6NFI3	ZN316_HUMAN	NM_001278559
A0A087X1D5	A0A087X1D5_HUMAN	NM_001278585
B4E1Y7	B4E1Y7_HUMAN	NM_001278585
J3KR83	J3KR83_HUMAN	NM_001278586
B4E0U6	B4E0U6_HUMAN	NM_001278589
Q6P5Q6	Q6P5Q6_HUMAN	NM_001278591
B4E0L7	B4E0L7_HUMAN	NM_001278592
F1T0L7	F1T0L7_HUMAN	NM_001278596
Q9NQ90	ANO2_HUMAN	NM_001278596,NM_001278597
M0R0W6	M0R0W6_HUMAN	NM_001278599
B7ZAD2	B7ZAD2_HUMAN	NM_001278606
B7Z999	B7Z999_HUMAN	NM_001161705,NM_001278608
Q12934	BFSP1_HUMAN	NM_001161705,NM_001195,NM_001278606,NM_001278607,NM_001278608
A6NJH9	A6NJH9_HUMAN	NM_001278612
B4DUA8	B4DUA8_HUMAN	NM_001278613
B4DYG2	B4DYG2_HUMAN	NM_001278616
B4DSN5	B4DSN5_HUMAN	NM_001278618
B1Q2B0	B1Q2B0_HUMAN	NM_001278623
Q5JY65	Q5JY65_HUMAN	NM_001278625
B2R9P8	B2R9P8_HUMAN	NM_001278629
B4DX97	B4DX97_HUMAN	NM_001278630
A0A0A0MRV2	A0A0A0MRV2_HUMAN	NM_001278636
F6WQW2	F6WQW2_HUMAN	NM_001278639
A8K291	A8K291_HUMAN	NM_001278647
B2R702	B2R702_HUMAN	NM_001278648
B4DKJ8	B4DKJ8_HUMAN	NM_001278649
E7ET92	E7ET92_HUMAN	NM_001278649
B4E0L0	B4E0L0_HUMAN	NM_001278657
F6VRR5	F6VRR5_HUMAN	NM_001278657
Q659C6	Q659C6_HUMAN	NM_001278657
P11168	GTR2_HUMAN	NM_000340,NM_001278658,NM_001278659
Q6PAU8	Q6PAU8_HUMAN	NM_001278659
B4E0L9	B4E0L9_HUMAN	NM_001278663
A0A087X0A2	A0A087X0A2_HUMAN	NM_001278664
Q7Z2R1	Q7Z2R1_HUMAN	NM_001278665
B4DER8	B4DER8_HUMAN	NM_001278673
F5H4S8	F5H4S8_HUMAN	NM_001278673
A0A087WZJ7	A0A087WZJ7_HUMAN	NM_001278661,NM_001278662,NM_001278677
F5H2M4	F5H2M4_HUMAN	NM_001278663,NM_001278678
P32745	SSR3_HUMAN	NM_001051,NM_001278687
A6NF34	ANTRL_HUMAN	NM_001278688
A0A087WV25	A0A087WV25_HUMAN	NM_001278690
B4DH64	B4DH64_HUMAN	NM_001278690
R9QTR3	R9QTR3_HUMAN	NM_001278697,NM_001278702
A0A087WWT2	A0A087WWT2_HUMAN	NM_001278711
B4E000	B4E000_HUMAN	NM_001278719
O75783	RHBL1_HUMAN	NM_001278720,NM_001278721
B4DDN8	B4DDN8_HUMAN	NM_001278732
A0A0A0MR47	A0A0A0MR47_HUMAN	NM_001278734
A0A0G2JQ43	A0A0G2JQ43_HUMAN	NM_001278736
B7Z786	B7Z786_HUMAN	NM_001278738
A0A087WTD2	A0A087WTD2_HUMAN	NM_001278739
A0A024RCI0	A0A024RCI0_HUMAN	NM_001278740,NM_001278741
A0A087WZU5	A0A087WZU5_HUMAN	NM_001278742
A0A087WYV6	A0A087WYV6_HUMAN	NM_001278743
D3DTX1	D3DTX1_HUMAN	NM_001278784
B4E1H8	B4E1H8_HUMAN	NM_001278789
A0A087WVY3	A0A087WVY3_HUMAN	NM_001278792
B4E3S4	B4E3S4_HUMAN	NM_001278912
E7ENM0	E7ENM0_HUMAN	NM_001278912
G5E950	G5E950_HUMAN	NM_001278913
Q8NBI4	Q8NBI4_HUMAN	NM_001278913
G3V0G6	G3V0G6_HUMAN	NM_001278914
Q6ZUN2	Q6ZUN2_HUMAN	NM_001278914
P15502	ELN_HUMAN	NM_000501,NM_001081752,NM_001081753,NM_001081754,NM_001081755,NM_001278915,NM_001278916
E7EN65	E7EN65_HUMAN	NM_001278917
Q59H17	Q59H17_HUMAN	NM_001278917
B3KRT8	B3KRT8_HUMAN	NM_001278918
B4DKC0	B4DKC0_HUMAN	NM_001278919
J9JID4	J9JID4_HUMAN	NM_001278919
B4DPJ3	B4DPJ3_HUMAN	NM_001278920
B4DTF2	B4DTF2_HUMAN	NM_001278923
A0A0B4J2F9	A0A0B4J2F9_HUMAN	NM_001278924
Q5VT79	AXA81_HUMAN	NM_001098845,NM_001278924
B4DT22	B4DT22_HUMAN	NM_001278926
F5H7P7	F5H7P7_HUMAN	NM_001278926
B4DP34	B4DP34_HUMAN	NM_001278927
F8WAH6	F8WAH6_HUMAN	NM_001278939
A8MWR8	A8MWR8_HUMAN	NM_001278946
O60543	CIDEA_HUMAN	NM_001279
Q8N5P9	Q8N5P9_HUMAN	NM_001279
B4E331	B4E331_HUMAN	NM_001279349,NM_001279350
B4DJ95	B4DJ95_HUMAN	NM_001279351
D3DWI5	D3DWI5_HUMAN	NM_001077527,NM_001279352
B7Z5D4	B7Z5D4_HUMAN	NM_001279353
B7Z360	B7Z360_HUMAN	NM_001279354
A0A087WU65	A0A087WU65_HUMAN	NM_001279355
B7Z5E4	B7Z5E4_HUMAN	NM_001279355
B4DP64	B4DP64_HUMAN	NM_001279356
A0A087X1K9	A0A087X1K9_HUMAN	NM_001279360
Q53XX5	Q53XX5_HUMAN	NM_001280
F8W7T1	F8W7T1_HUMAN	NM_001280544
B3KUD1	B3KUD1_HUMAN	NM_001280545,NM_001280546
B4DST2	B4DST2_HUMAN	NM_001280546
E7EQT0	E7EQT0_HUMAN	NM_001280549
E7ERW5	E7ERW5_HUMAN	NM_001280550
C0KTE5	C0KTE5_HUMAN	NM_001280551
C0KTF5	C0KTF5_HUMAN	NM_001280551
E7ES87	E7ES87_HUMAN	NM_001280551
E7ERK2	E7ERK2_HUMAN	NM_001280556
Q9NX22	Q9NX22_HUMAN	NM_001280557
B4E0D5	B4E0D5_HUMAN	NM_001280560
E9PLC4	E9PLC4_HUMAN	NM_001280560
Q2WGJ8	TM249_HUMAN	NM_001252402,NM_001280561
A0A087WYS9	A0A087WYS9_HUMAN	NM_001280787
B7Z1G8	B7Z1G8_HUMAN	NM_001280790,NM_001280791
J3KQU5	J3KQU5_HUMAN	NM_001280794,NM_001280795
A0A087X004	A0A087X004_HUMAN	NM_001280797,NM_001280798
F6XZD3	F6XZD3_HUMAN	NM_001280799
B3KMX4	B3KMX4_HUMAN	NM_001281294
X6RLR1	X6RLR1_HUMAN	NM_001281427
A0A087WWV9	A0A087WWV9_HUMAN	NM_001281428
A5D8T4	A5D8T4_HUMAN	NM_001243,NM_001281430
P28908	TNR8_HUMAN	NM_001243,NM_001281430
A0A0A0MQY9	A0A0A0MQY9_HUMAN	NM_001281431
A0A0G2JNV1	A0A0G2JNV1_HUMAN	NM_001281434
A0A087WX59	A0A087WX59_HUMAN	NM_001281437,NM_001281438
A0A087X1X9	A0A087X1X9_HUMAN	NM_001281440
Q5QPV1	Q5QPV1_HUMAN	NM_001281448
B7ZLG2	B7ZLG2_HUMAN	NM_001281450
O95983	MBD3_HUMAN	NM_001281453,NM_001281454
B7Z6R4	B7Z6R4_HUMAN	NM_001281459
G8JLG1	G8JLG1_HUMAN	NM_001281463
Q13258	PD2R_HUMAN	NM_000953,NM_001281469
A0A087WZV0	A0A087WZV0_HUMAN	NM_001281471
P52701	MSH6_HUMAN	NM_000179,NM_001281492,NM_001281493,NM_001281494
B4DGM8	B4DGM8_HUMAN	NM_001281504
B7Z339	B7Z339_HUMAN	NM_001281507
F5GZQ3	F5GZQ3_HUMAN	NM_001281512
P55084	ECHB_HUMAN	NM_000183,NM_001281512,NM_001281513
A8K968	A8K968_HUMAN	NM_001281535
B4DRG7	B4DRG7_HUMAN	NM_001281711
P43251	BTD_HUMAN	NM_000060,NM_001281723,NM_001281724,NM_001281725
G3XAC1	G3XAC1_HUMAN	NM_001281733
Q96MZ1	Q96MZ1_HUMAN	NM_001281732,NM_001281733
Q32ND0	Q32ND0_HUMAN	NM_001281736
A0A087WVK1	A0A087WVK1_HUMAN	NM_001281741
A0A0A0MSE8	A0A0A0MSE8_HUMAN	NM_001281742
A1A5A9	A1A5A9_HUMAN	NM_001281748
H0Y494	H0Y494_HUMAN	NM_001281749
B7ZKJ3	B7ZKJ3_HUMAN	NM_001281765
F8VP57	F8VP57_HUMAN	NM_001281767
Q59FT4	Q59FT4_HUMAN	NM_001281767
C9J1J0	C9J1J0_HUMAN	NM_001281768
Q569J9	Q569J9_HUMAN	NM_001281769
Q2HXV5	Q2HXV5_HUMAN	NM_001281779,NM_001281780
A0A087WVZ6	A0A087WVZ6_HUMAN	NM_001281782
B8YCP3	B8YCP3_HUMAN	NM_001281789
A1L4K1	FSD2_HUMAN	NM_001007122,NM_001281805,NM_001281806
B7ZM05	B7ZM05_HUMAN	NM_001281806
E9PLW0	E9PLW0_HUMAN	NM_001281836,NM_001281837,NM_001281838
B3KRQ2	B3KRQ2_HUMAN	NM_001281932
A0A0C4ZN30	A0A0C4ZN30_HUMAN	NM_001281971
Q8NHJ0	Q8NHJ0_HUMAN	NM_001281971
Q86VI6	Q86VI6_HUMAN	NM_001281972
P63010	AP2B1_HUMAN	NM_001030006,NM_001282
A6NC51	T150B_HUMAN	NM_001085488,NM_001282011
A0A024R3E4	A0A024R3E4_HUMAN	NM_001282098
K0KVU2	K0KVU2_HUMAN	NM_001282101
P46937	YAP1_HUMAN	NM_001130145,NM_001195044,NM_001195045,NM_001282097,NM_001282098,NM_001282099,NM_001282100,NM_001282101
A8K4N2	A8K4N2_HUMAN	NM_001282113
B4DK64	B4DK64_HUMAN	NM_001282129
F5H527	F5H527_HUMAN	NM_001282129
A8MW99	MEI4L_HUMAN	NM_001282136
E7ES21	E7ES21_HUMAN	NM_001282141
B4DIA5	B4DIA5_HUMAN	NM_001282142
B3KP11	B3KP11_HUMAN	NM_001282145
A8K4S1	A8K4S1_HUMAN	NM_001282146
B7Z683	B7Z683_HUMAN	NM_001256847,NM_001282149
F8VXU5	F8VXU5_HUMAN	NM_001282150
B7Z4K4	B7Z4K4_HUMAN	NM_001282157
A0A0D9SG71	A0A0D9SG71_HUMAN	NM_001282161
B1AK88	B1AK88_HUMAN	NM_001282162
B4DWA6	B4DWA6_HUMAN	NM_001282162
P51795	CLCN5_HUMAN	NM_000084,NM_001127898,NM_001127899,NM_001282163
A0A0G2JN05	A0A0G2JN05_HUMAN	NM_001282170
Q99565	Q99565_HUMAN	NM_001282170
Q14943	KI3S1_HUMAN	NM_001083539,NM_001282170,NM_001282171
Q4KN23	Q4KN23_HUMAN	NM_001282171
Q59EK0	Q59EK0_HUMAN	NM_001282179
B7Z5X1	B7Z5X1_HUMAN	NM_001282180
B7Z7C0	B7Z7C0_HUMAN	NM_001282181,NM_001282182
B4DMK1	B4DMK1_HUMAN	NM_001282197
F6SL11	F6SL11_HUMAN	NM_001282198
O95258	UCP5_HUMAN	NM_001282195,NM_001282196,NM_001282197,NM_001282198
B2ZWH0	B2ZWH0_HUMAN	NM_001282202
Q2M218	ZN630_HUMAN	NM_001037735,NM_001190255,NM_001282201,NM_001282202
B3KSC8	B3KSC8_HUMAN	NM_001282203
B7Z4W6	B7Z4W6_HUMAN	NM_001282204
B4DR71	B4DR71_HUMAN	NM_001282205
B4DLY3	B4DLY3_HUMAN	NM_001282218
B4DRW0	B4DRW0_HUMAN	NM_000052,NM_001282224
Q04656	ATP7A_HUMAN	NM_000052,NM_001282224
Q762B6	Q762B6_HUMAN	NM_000052,NM_001282224
A0A087X0I3	A0A087X0I3_HUMAN	NM_001282229
J3KMW1	J3KMW1_HUMAN	NM_001282236
L8B8F6	L8B8F6_HUMAN	NM_001282237
L8B862	L8B862_HUMAN	NM_001282238
B4DPT1	B4DPT1_HUMAN	NM_001282272
F5H8F7	F5H8F7_HUMAN	NM_001282272
D3DTV9	PRAC2_HUMAN	NM_001282275
A0A087X2F6	A0A087X2F6_HUMAN	NM_001282276
B3KM87	B3KM87_HUMAN	NM_001282278
B4DF66	B4DF66_HUMAN	NM_001282278
E2QRB3	E2QRB3_HUMAN	NM_001282279
D3JEN2	D3JEN2_HUMAN	NM_001282285
B4E1A4	B4E1A4_HUMAN	NM_001282286
P0C7Q5	S35G4_HUMAN	NM_001282300
E7EMM1	E7EMM1_HUMAN	NM_001282302
Q8TCB3	Q8TCB3_HUMAN	NM_001282302
B4E185	B4E185_HUMAN	NM_001282305
B4DVS7	B4DVS7_HUMAN	NM_001282306
B4DMA5	B4DMA5_HUMAN	NM_001282307
F8W9H2	F8W9H2_HUMAN	NM_001282310
D3DWX8	D3DWX8_HUMAN	NM_001282311
Q9BU27	Q9BU27_HUMAN	NM_001282311
B4DJ07	B4DJ07_HUMAN	NM_001282313
B5MCY9	B5MCY9_HUMAN	NM_001282314
P0DMU3	F231L_HUMAN	NM_001282321
P0DMU4	F231A_HUMAN	NM_001282321
P0DMU5	F231C_HUMAN	NM_001282321
A8MTL3	R212B_HUMAN	NM_001282322
B3KTZ6	B3KTZ6_HUMAN	NM_001282328
B3KXD6	B3KXD6_HUMAN	NM_001282327,NM_001282328
B4DT51	B4DT51_HUMAN	NM_001282333
E7EQB3	E7EQB3_HUMAN	NM_001282333
B3KVA9	B3KVA9_HUMAN	NM_001282334
K7ES92	K7ES92_HUMAN	NM_001282334
B3KXW7	B3KXW7_HUMAN	NM_001282335
F5H1R4	F5H1R4_HUMAN	NM_001282335
B7Z637	B7Z637_HUMAN	NM_001267041,NM_001282342
H3BVB1	H3BVB1_HUMAN	NM_001282351
Q6PCT2	FXL19_HUMAN	NM_001099784,NM_001282351
A0A087WXP3	A0A087WXP3_HUMAN	NM_001282354
A0A087WZI7	A0A087WZI7_HUMAN	NM_001282357
A0A0B4J2G0	A0A0B4J2G0_HUMAN	NM_001282359
A0A087WYK5	A0A087WYK5_HUMAN	NM_001282360
A0A087WYL3	A0A087WYL3_HUMAN	NM_001282368
B7Z4F9	B7Z4F9_HUMAN	NM_001282378
F5GYK0	F5GYK0_HUMAN	NM_001282378
H0YMP5	H0YMP5_HUMAN	NM_001282380
B4E2B8	B4E2B8_HUMAN	NM_001282388
E9PEE8	E9PEE8_HUMAN	NM_001282388
P18564	ITB6_HUMAN	NM_000888,NM_001282353,NM_001282355,NM_001282388
Q9Y3S1	WNK2_HUMAN	NM_001282394
B4DGW9	B4DGW9_HUMAN	NM_001282397
A0A087X063	A0A087X063_HUMAN	NM_001282398
A7MD47	A7MD47_HUMAN	NM_001011657,NM_001282400,NM_001282401
Q5H9K5	ZMAT1_HUMAN	NM_001282400,NM_001282401
G3XAL0	G3XAL0_HUMAN	NM_001282404
Q6AI02	Q6AI02_HUMAN	NM_001282418
Q6MZM3	Q6MZM3_HUMAN	NM_001042751,NM_001282418
A0A087X1G1	A0A087X1G1_HUMAN	NM_001282419
A0A087WXR5	A0A087WXR5_HUMAN	NM_001282422
A8K2U0	A2ML1_HUMAN	NM_001282424
A8K9G9	A8K9G9_HUMAN	NM_001282426,NM_001282427
B3KVK8	B3KVK8_HUMAN	NM_001282429
Q6XYB7	LBX2_HUMAN	NM_001009812,NM_001282430
A0A087X1N6	A0A087X1N6_HUMAN	NM_001282436
E9PC54	E9PC54_HUMAN	NM_001282440
A0A024R571	A0A024R571_HUMAN	NM_001282445
A2A2L3	A2A2L3_HUMAN	NM_001282447
E9PQX1	TM262_HUMAN	NM_001282448
Q6P5V6	Q6P5V6_HUMAN	NM_001282454
Q15822	ACHA2_HUMAN	NM_000742,NM_001282455
B4DQI1	B4DQI1_HUMAN	NM_001282457
Q53HP3	Q53HP3_HUMAN	NM_000063,NM_001145903,NM_001282457
A0A0G2JL69	A0A0G2JL69_HUMAN	NM_001282458
B4DV48	B4DV48_HUMAN	NM_001282458
Q8N6L6	Q8N6L6_HUMAN	NM_001282459
J3KQU2	J3KQU2_HUMAN	NM_001282460
Q05C16	LRC63_HUMAN	NM_001282460
Q5JZB7	Q5JZB7_HUMAN	NM_001282461,NM_001282462
Q9NPU4	CN132_HUMAN	NM_001252507,NM_001282464
H3BSY2	GOG8M_HUMAN	NM_001282468
P0CV98	TSPY3_HUMAN	NM_001077697,NM_001282469
Q9H606	PRORY_HUMAN	NM_001282471
A6NMD2	GOG8J_HUMAN	NM_001282472
A6H8K8	A6H8K8_HUMAN	NM_001282473
B2RAP6	B2RAP6_HUMAN	NM_001282470,NM_001282473
Q86U03	Q86U03_HUMAN	NM_001282474
Q86V28	Q86V28_HUMAN	NM_001282475
A6NLX4	TM210_HUMAN	NM_001282477
E9PI22	P23D1_HUMAN	NM_001282478,NM_001282479
P0DMB1	P23D2_HUMAN	NM_001282478,NM_001282479
B4DLF9	B4DLF9_HUMAN	NM_001282481
B7ZA25	B7ZA25_HUMAN	NM_001282480,NM_001282481,NM_001282482,NM_001282483
I6L899	GOG8R_HUMAN	NM_001282484
A0A024RD43	A0A024RD43_HUMAN	NM_001282487,NM_001282488
P49643	PRI2_HUMAN	NM_000947,NM_001282487,NM_001282488
B4DL95	B4DL95_HUMAN	NM_001282489
P0CJ92	GOG8H_HUMAN	NM_001282490
H3BNL8	CF229_HUMAN	NM_001282492
F8WBI6	GOG8N_HUMAN	NM_001282494
A0A087WZQ2	A0A087WZQ2_HUMAN	NM_001282497
Q6P448	Q6P448_HUMAN	NM_001282501
E9PJI5	NPIA7_HUMAN	NM_001282507,NM_001282511
P0DM63	NPIA8_HUMAN	NM_001282507,NM_001282511
E7EWK1	E7EWK1_HUMAN	NM_001282512
I6LJZ5	I6LJZ5_HUMAN	NM_001282516
I6LJZ6	I6LJZ6_HUMAN	NM_001282517
I6LJZ7	I6LJZ7_HUMAN	NM_001282519
I6LJZ8	I6LJZ8_HUMAN	NM_001282520
I6LJZ9	I6LJZ9_HUMAN	NM_001282521
B2RXF8	B2RXF8_HUMAN	NM_001282524
E9PJ23	NPIB6_HUMAN	NM_001282524
Q05DB8	Q05DB8_HUMAN	NM_001282526
B3KRF4	B3KRF4_HUMAN	NM_001282527
B4E0R5	B4E0R5_HUMAN	NM_001282529
O60299	LZTS3_HUMAN	NM_001282533
A0A024R9H3	A0A024R9H3_HUMAN	NM_001282534
Q9NPC2	KCNK9_HUMAN	NM_001282534
B7Z7Y5	B7Z7Y5_HUMAN	NM_001282536
H0YHK3	H0YHK3_HUMAN	NM_001282536
B9A014	CU140_HUMAN	NM_001282537
B3KVK2	B3KVK2_HUMAN	NM_001282538
A0A087WSX6	A0A087WSX6_HUMAN	NM_001282540
Q9BXD7	Q9BXD7_HUMAN	NM_001282540
B7ZLS9	B7ZLS9_HUMAN	NM_001282541
A0A087WZC3	A0A087WZC3_HUMAN	NM_001282542
A0AVN2	A0AVN2_HUMAN	NM_000465,NM_001282543
Q99728	BARD1_HUMAN	NM_000465,NM_001282543
A6NF36	CC182_HUMAN	NM_001282544
A0A087X2H0	A0A087X2H0_HUMAN	NM_001282545
F6MDI0	F6MDI0_HUMAN	NM_001282545
F6MDI1	F6MDI1_HUMAN	NM_001282548
A0A087WZ19	A0A087WZ19_HUMAN	NM_001282549
F6MDI2	F6MDI2_HUMAN	NM_001282549
B4DK27	B4DK27_HUMAN	NM_001282552,NM_001282554
C9J7D0	C9J7D0_HUMAN	NM_001282558
A0A087WXF8	A0A087WXF8_HUMAN	NM_001282566
A0A0D9SEW3	A0A0D9SEW3_HUMAN	NM_001282567
A0A087WYV3	A0A087WYV3_HUMAN	NM_001282571
A0A087WYF0	A0A087WYF0_HUMAN	NM_001282573
A0A087WXU5	A0A087WXU5_HUMAN	NM_001282574
G3V2F7	G3V2F7_HUMAN	NM_001257397,NM_001257398,NM_001257399,NM_001282576,NM_001282579
R4GMU1	R4GMU1_HUMAN	NM_001282587
B4DVL7	B4DVL7_HUMAN	NM_001282593
B4DW98	B4DW98_HUMAN	NM_001282594
F6KRI5	F6KRI5_HUMAN	NM_001282600
A0A087WYT3	A0A087WYT3_HUMAN	NM_001282604
G3XAA5	G3XAA5_HUMAN	NM_001282606
Q9HC19	Q9HC19_HUMAN	NM_001282606
G3V1M2	G3V1M2_HUMAN	NM_001282610
Q7Z782	Q7Z782_HUMAN	NM_001282610
B3KX51	B3KX51_HUMAN	NM_001166425,NM_001282617
Q5TCI8	Q5TCI8_HUMAN	NM_001282624
B7Z6V4	B7Z6V4_HUMAN	NM_001282628
F5GYY5	F5GYY5_HUMAN	NM_001282628
A1L484	A1L484_HUMAN	NM_001282628,NM_001282631
